-3.188396, 55.944425, SSE, 55.944147836140246. -3.1882811949702905, 46.57908164270219, 575.0164460297068
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 46.57908164270219, 573.7664460297068
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 93.15816328540438, 1146.2828920594136
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 93.15816328540438, 1145.0328920594136
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 279.47448985621315, 3435.0986761782406
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 279.47448985621315, 3433.8486761782406
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 558.9489797124263, 6866.447352356481
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 558.9489797124263, 6865.197352356481
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1676.846939137279, 20595.592057069443
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1676.846939137279, 20594.342057069443
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 3353.693878274558, 41187.43411413889
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 3353.693878274558, 41186.18411413889
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 10061.081634823673, 123558.55234241666
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 10061.081634823673, 123557.30234241666
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 20122.163269647346, 247113.35468483332
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 20122.163269647346, 247112.10468483332
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 60366.48980894204, 741336.3140545
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 60366.48980894204, 741335.0640545
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 120732.97961788408, 1482668.878109
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 120732.97961788408, 1482667.628109
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 362198.9388536522, 4448002.884327
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 362198.9388536522, 4448001.634327
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 724397.8777073044, 8896002.018654
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 724397.8777073044, 8896000.768654
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2173193.6331219133, 2.6688002305962E7
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2173193.6331219133, 2.6688001055962E7
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 4346387.266243827, 5.3376000861924E7
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 4346387.266243827, 5.3375999611924E7
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.303916179873148E7, 1.60127998835772E8
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.303916179873148E7, 1.60127997585772E8
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.607832359746296E7, 3.20255993921544E8
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.607832359746296E7, 3.20255992671544E8
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 7.823497079238889E7, 9.60767978014632E8
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 7.823497079238889E7, 9.60767976764632E8
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.5646994158477777E8, 1.921535952279264E9
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.5646994158477777E8, 1.921535951029264E9
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 4.694098247543333E8, 5.764607853087791E9
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 4.694098247543333E8, 5.764607851837791E9
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 9.388196495086666E8, 1.1529215702425583E10
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 9.388196495086666E8, 1.1529215701175583E10
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.816458948526E9, 3.458764710352675E10
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.816458948526E9, 3.458764710227675E10
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 5.632917897052E9, 6.91752942033035E10
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 5.632917897052E9, 6.91752942020535E10
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.6898753691156E10, 2.075258826061605E11
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.6898753691156E10, 2.075258826049105E11
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 3.3797507382312E10, 4.15051765208571E11
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 3.3797507382312E10, 4.15051765207321E11
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.01392522146936E11, 1.245155295621963E12
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.01392522146936E11, 1.245155295620713E12
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.02785044293872E11, 2.490310591240176E12
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.02785044293872E11, 2.490310591238926E12
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 6.08355132881616E11, 7.470931773716777E12
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 6.08355132881616E11, 7.470931773715527E12
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 1.216710265763232E12, 1.4941863547429805E13
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 1.216710265763232E12, 1.4941863547428555E13
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 3.650130797289696E12, 4.4825590642285664E13
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 3.650130797289696E12, 4.4825590642284414E13
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 7.300261594579392E12, 8.965118128456758E13
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 7.300261594579392E12, 8.965118128456633E13
-3.188004031110537, 55.944033031110536, WNW, 55.944147836140246. -3.1882811949702905, 2.1900784783738176E13, 2.68953543853699E14
55.944147836140246, -3.1882811949702905, NNW, -3.188004031110537. 55.944033031110536, 2.1900784783738176E13, 2.6895354385369775E14
